Job Title,Organisation,Monthly Payment,Contract Type,Category,Closing,Location,Full-Time Equivalent (FTE),Opening
Nursing Home Manager  Thames Ditton,Liquid Personnel Ltd,2750.0,,Healthcare and Nursing,2013-02-22 15:00:00,Thames Ditton,FULL TIME,2012-12-24 15:00:00
Deputy Manager  Nursing Home  RGN  Shrewsbury,Liquid Personnel Ltd,2583.33,,Healthcare and Nursing,2012-11-14 15:00:00,Shrewsbury,FULL TIME,2012-10-15 15:00:00
Deputy Manager  Nursing Home (RGN)  London,Liquid Personnel Ltd,3000.0,,Healthcare and Nursing,2012-12-08 00:00:00,London,FULL TIME,2012-11-08 00:00:00
Deputy Manager (RGN)  Nursing Home  Bristol,Liquid Personnel Ltd,2791.67,,Healthcare and Nursing,2013-01-13 15:00:00,Bristol,FULL TIME,2012-11-14 15:00:00
RGN or RMN  Wigan,Eden Brown,2240.0,,Healthcare and Nursing,2013-01-24 15:00:00,Wigan,FULL TIME,2012-11-25 15:00:00
Staff Nurse in Elderly (RGN)  Bromley,Aaron Millar Recruitment,2000.0,,Healthcare and Nursing,2012-02-01 12:00:00,Bromley,FULL TIME,2012-01-02 12:00:00
Practice Nurses Band 5  Northallerton,Hays Healthcare,2880.0,,Healthcare and Nursing,2012-07-21 00:00:00,Northallerton,FULL TIME,2012-04-22 00:00:00
RGN or RMN  Liverpool,Eden Brown,1996.75,,Healthcare and Nursing,2013-04-06 00:00:00,Liverpool,FULL TIME,2013-03-07 00:00:00
**** Clinical Nurse Advisors  York  York,Hays Healthcare,1916.67,,Healthcare and Nursing,2013-06-26 00:00:00,York,FULL TIME,2013-03-28 00:00:00
Scrub Nurse  Maidstone,Compass Associates Ltd,2500.0,,Healthcare and Nursing,2013-05-03 15:00:00,Maidstone,FULL TIME,2013-02-02 15:00:00
Clinical Nurse Advisor  Bedford  Bedford,Hays Healthcare,1916.67,,Healthcare and Nursing,2012-05-01 00:00:00,Bedford,FULL TIME,2012-04-01 00:00:00
Full Or Part Time Outreach Support  Taunton,BS Social Care,1099.58,,Healthcare and Nursing,2013-05-07 00:00:00,Taunton,FULL TIME,2013-04-07 00:00:00
Registered General Nurse  Hertford,TXM Healthcare,2125.0,,Healthcare and Nursing,2012-10-15 15:00:00,Hertford,FULL TIME,2012-08-16 15:00:00
Deputy Home Manager (RGN)  Buckingham,Caritas Recruitment,2708.33,,Healthcare and Nursing,2012-05-29 15:00:00,Buckingham,FULL TIME,2012-03-30 15:00:00
Deputy Home Manager  RGN  Cambridge,Caritas Recruitment,2708.33,,Healthcare and Nursing,2012-10-16 12:00:00,Cambridge,FULL TIME,2012-07-18 12:00:00
Nurse  RMN / RGN  Wiltshire  Salisbury,Populus Healthcare,2291.67,,Healthcare and Nursing,2012-11-08 15:00:00,Salisbury,FULL TIME,2012-10-09 15:00:00
Registered General Nurse London  London,MedicsPro,4000.0,,Healthcare and Nursing,2013-10-25 00:00:00,London,FULL TIME,2013-09-25 00:00:00
RMN's & RNLD's  Croydon,Glen Care Group,2066.67,,Healthcare and Nursing,2012-07-09 15:00:00,Croydon,FULL TIME,2012-06-09 15:00:00
Night Support Worker  Worthing,BS Social Care,620.0,,Healthcare and Nursing,2013-12-03 15:00:00,Worthing,0.6 FTE,2013-11-03 15:00:00
Substance Misuse Nurse  StokeonTrent,Morgan Hunt,1958.33,,Healthcare and Nursing,2012-06-04 15:00:00,Stoke-On-Trent,FULL TIME,2012-03-06 15:00:00
Care Home Manager  Nurse  Stockport,Four Seasons Health Care,1666.67,,Healthcare and Nursing,2012-11-28 15:00:00,Stockport,FULL TIME,2012-08-30 15:00:00
Unit Lead  Salford,White Recruitment Limited,2083.33,,Healthcare and Nursing,2012-11-22 12:00:00,Salford,FULL TIME,2012-08-24 12:00:00
Heath care Assistant  Immediate Start  Liverpool,D.R.C. Locums Limited,1200.0,,Healthcare and Nursing,2012-11-27 00:00:00,Liverpool,FULL TIME,2012-09-28 00:00:00
Nutritional Nurse Advisor  Bedford,Equal Approach,2104.17,,Healthcare and Nursing,2012-05-19 12:00:00,Bedford,FULL TIME,2012-04-19 12:00:00
RGN  Glasgow,BS Social Care,2008.33,,Healthcare and Nursing,2012-06-28 12:00:00,Glasgow,FULL TIME,2012-03-30 12:00:00
Deputy Manager  Redhill,BS Social Care,1958.33,,Healthcare and Nursing,2013-09-15 12:00:00,Redhill,FULL TIME,2013-07-17 12:00:00
Staff Nurse x**** RGN/RMN Cambridgeshire ******** p/h  Cambridge,SYK Recruitment,2000.0,,Healthcare and Nursing,2013-01-26 15:00:00,Cambridge,FULL TIME,2012-11-27 15:00:00
Staff Nurse x**** RGN Surrey **** per hour  Guildford,SYK Recruitment,1920.0,,Healthcare and Nursing,2013-05-04 00:00:00,Guildford,FULL TIME,2013-03-05 00:00:00
Staff Nurse RGN Buckinghamshire **** per hour  Buckingham,SYK Recruitment,1000.0,,Healthcare and Nursing,2013-12-05 00:00:00,Buckingham,FULL TIME,2013-10-06 00:00:00
Endoscopy Nurse RGN London ****k per annum  London,SYK Recruitment,2753.33,,Healthcare and Nursing,2012-06-23 00:00:00,London,FULL TIME,2012-04-24 00:00:00
